(services),"(price, what the client pays in mxn)",(lab test instructions),
ALBUMINA EN ORINA OCASIONAL,118.00,"SE RECOLECTA UNA MUESTRA DE ORINA EN UN FRACO ESTERIL,PROPORCIONADO POR EL LABORATORIO O COMPRADO EN UNA FARMACIA,  NO ES IMPORTANTE QUE SE A LA PRIMERA DE LA MAÑANA,RECOLECTAR CHORRO MEDIO",
ALCOHOL ( SUERO ),387.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
ALCOHOL (ETANOL),0.00,,
ALCOHOL ETÍLICO EN ORINA,387.00,,
ALCOHOL ORINA,387.00,ORINA AL AZAR,
ALDOLASA,293.00,,
ALDOLASA,0.00,Ayuno no Indispensable,
ALDOSTERONA EN ORINA DE 24 HRS.,284.48,RECOLECTAR ORINA DE 24 HORAS. LA PRIMERA DE LA MAÑANA SE DESECHA Y SE RECOLECTAR A PARTIR DE LA SEGUNDA ORINA HASTA LA PRIMERA DEL SIGUIENTE DÍA.\nRECOLECTAR EN ENVASE DE AGUA.,
ALDOSTERONA SERICA,412.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
ALERGENO (ÁCAROS),0.00,,
ALERGENO (CASPA DE PERRO),0.00,,
ALERGENO ABEDUL BLANCO,0.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
ALERGENO ACACIA,0.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
ALERGENO ACARO FARINAE,0.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
ALERGENO ACARO PTERONYSSINUS,0.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
ALERGENO ACARUSSIRO,0.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
ALERGENO AGROSTIS ALBA,0.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
ALERGENO AGUACATE,0.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
ALERGENO INDIVIDUAL,292.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
ALFA 1 ANTITRIPSINA,0.00,Ayuno no Indispensable,
ALFA 2 MACROGLOBULINA,983.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
ALFAFETOPROTEÍNA (AFP),258.00,AYUNO MÍNIMO DE 8 HORAS,
ALT - TG PIRUVICA,0.00,,
ALUMINIO,0.00,Ayuno no Indispensable,
ALUMINIO EN SUERO,868.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AMIBA EN FRESCO,0.00,"Muestra de Heces, del tamaño de una nuez",
AMIKACINA EN SUERO,"3,093.00",AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AMILASA,187.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AMILASA EN ORINA DE 24 HRS.,164.00,RECOLECTAR ORINA DE 24 HRS EN UN ENVASE DE PREFERENCIA DE AGUA. A PARTIR DE LA 2A. ORINA HASTA LA 1A DEL SIGUIENTE DÍA.,
AMINOÁCIDOS EN ORINA,705.00,RECOLECTAR ORINA DE 24 HRS. EN UN ENVASE DE AGUA. A PARTIR DE LA 2A. ORINA HASTA LA 1A. DEL SIGUIENTE DÍA,
AMINOÁCIDOS EN SANGRE,767.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AMONIO,282.00,AYUNO MÍNIMO DE 4 HORAS MÁXIMO 8,
ANDRÓGENOS TOTALES,300.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
ANDROSTENEDIONA,387.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
ANFETAMINAS,270.00,ORINA AL AZAR RECOLECTADA EN EL LABORATORIO,
ANGIOTAC,"4,800.00",,
ANGIOTENSINA,0.00,Ayuno no Indispensable,
"ANTI ESTREPTOLISINAS ""O"" (ASO)",171.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
ANTI PEPTIDO CICLICO CITRULINADO,"1,144.00",,
ANTIBIOGRAMA CONCENTRACIÓN MÍNIMA INHIBITORIA,602.00,,
ANTICOAGULANTE LUPICO CONFIRMATORIO,943.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
Anticuerpos anti P 55 (GAG),0.00,,
Anticuerpos anti P 66,0.00,,
ANTIDOPING EN SALIVA,399.00,Sin aseo bucal,
ANTIGENO CARCINOEMBRIONARIO (CEA),270.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO DE 12,
Antígeno SARS-CoV-2,293.00,1. TOMAR LA MUESTRA ENTRE LOS 5 Y 7 DÍAS DESPUÉS DE HABER TENIDO CONTACTO.\n2. SIN CONSUMIR ANTIVIRALES,
ANTITROMBINA III,353.00,Ayuno 8 horas,
"APOLIPOPROTEÍNAS ""B""",399.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
"APOLIPROTEÍNAS ""A1""",278.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
ARSENICO EN ORINA DE 24 HORAS,"1,540.00",RECOLECTAR ORINA DE 24 HRS. EN UN ENVASE DE AGUA. A PARTIR DE LA  2A. ORINA HASTA LA 1A. DEL SIGUIENTE DÍA. ,
ARSÉNICO EN SANGRE,"1,540.00",AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
ASPARTATO AMINOTRANSFERASA  (AST /TGO),118.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR LA NOCHE ANTERIOR COMIDAS RICAS EN GRASAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
AUDIOMETRÍA,599.00,,
"AUDIOMETRÍA TONAL CON LOGOAUDIOMETRÍA, TIMPANOMETRÍA","1,490.00",,
AZUCARES REDUCTORES,131.00,RECOLECTAR MUESTRA DE HECES RECIENTE DEL TAMAÑO DE UNA NUEZ EN UN FRASCO ESTÉRIL,
B- HGC LIBRE,0.00,Ayuno no Indispesable,
BACILOSCOPIA 1 MUESTRA,0.00,Recolectar flema en frasco estéril.,
BACILOSCOPIA 1 MUESTRA,129.00,RECOLECTAR EXPECTORACIÓN/FLEMA U ORINA OCASIONAL,
BACILOSCOPIA EN SERIE DE 2 MUESTRAS,200.00,1. RECOLECTAR EXPECTORACIÓN/FLEMA U ORINA OCASIONAL EN UN FRASCO ESTÉRIL.\n2. ANOTAR FECHA DE LA RECOLECCIÓN,
BACILOSCOPIA EN SERIE DE 3 MUESTRAS,364.00,1. RECOLECTAR EXPECTORACIÓN/FLEMA U ORINA OCASIONAL EN UN FRASCO ESTÉRIL.\n2. ANOTAR FECHA DE LA RECOLECCIÓN,
BACILOSCOPIA EN SERIE DE 4 MUESTRAS,257.00,1. RECOLECTAR EXPECTORACIÓN/FLEMA U ORINA OCASIONAL EN UN FRASCO ESTÉRIL.\n2. ANOTAR FECHA DE LA RECOLECCIÓN,
BACILOSCOPIA EN SERIE DE 5 MUESTRAS,284.00,1. RECOLECTAR EXPECTORACIÓN/FLEMA U ORINA OCASIONAL EN UN FRASCO ESTÉRIL.\n2. ANOTAR FECHA DE LA RECOLECCIÓN,
BAFF NÓDULO O GLÁNDULA,0.00,,
BAFF SECRECIÓN DE PEZÓN,0.00,,
BARBITÚRICOS,338.00,RECOLECTAR ORINA AL AZAR EN EL LABORATORIO,
BENZODIACEPINAS,271.00,RECOLECTAR ORINA AL AZAR EN EL LABORATORIO,
BETA 2 GLICOPROTEINA 1 (IgG),610.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
BETA 2 GLICOPROTEINA 1 (IgM),617.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
BETA 2 GLICOPROTEÍNA 1 (lgA),624.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
BETA 2 MICROGLOBULINA EN ORINA DE 24 HORAS,332.00,RECOLECTAR ORINA DE 24 HRS. EN UN ENVASE DE AGUA. A PARTIR DE LA 2A. ORINA HASTA LA 1A. DEL SIGUIENTE DÍA.\nQUE NO SEA ENVASE DE REFRESCO.,
BETA 2 MICROGLOBULINA SERICA,0.00,2.0 ml suero refrigerado. / Ayuno de 8 horas. Recolectar en tubo tapon dorado \n(gel separador)\n1 Dia de Proceso,
BETA HGC,0.00,,
BETA-2 MICROGLOBULINA  SÉRICA,332.00,AYUNO MÍNIMO DE 8 HRS MÁXIMO DE 12.,
BICARBONATO (HCO3) EN ORINA,312.00,RECOLECTAR ORINA AL AZAR EN UN FRASCO ESTÉRIL,
BILIRRUBINA DIRECTA,118.00,AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.,
BILIRRUBINA INDIRECTA,118.00,AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.,
BILIRRUBINA TOTAL,118.00,AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.,
BIOPSIA CHICA (0cm a 3cm),0.00,Muestra en frasco con formol,
BIOPSIA ESPECIAL (Órgano),0.00,,
BIOPSIA GRANDE (7cm a 12 cm),0.00,,
BIOPSIA MEDIANA (3cm a 7cm),0.00,,
BIOTINIDASA,341.00,AYUNO MÍNIMO DE 4 HORAS,
BLASTOS (BÚSQUEDA DE),146.00,NO REQUIERE AYUNO,
BLOOD GROUP AND FACTOR RH,0.00,,
BÚSQUEDA DE AMIBA FRESCO,118.00,,
BÚSQUEDA DE CRYPTOSPORIDIUM,258.00,RECOLECTAR MUESTRA DE HECES DEL TAMAÑO DE UNA NUEZ EN UN FRASCO ESTÉRIL,
CA 125 (OVARIO),302.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
CA 15-3 (MAMA),302.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
CA 19-9 (PÁNCREAS - COLÓN),302.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
CA 27-29 (PULMÓN),"1,025.00",AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
CA 72-4 (ESTÓMAGO),544.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
CADENAS/KAPPA/LAMBDA (LIGERAS) EN ORINA,0.00,Recolectar Orina de 24 hrs,
CADENAS/KAPPA/LAMBDA (LIGERAS) EN SUERO,0.00,,
CADMIO EN ORINA,468.00,,
CADMIO EN SANGRE,"1,209.00",Ayuno Aproximado de 8 a 10 horas. ,
CALCIO,118.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
CALCIO EN ORINA 24 HORAS,132.00,RECOLECTAR ORINA DE 24 HRS. EN UN ENVASE DE AGUA. A PARTIR DE LA 2A. ORINA HASTA LA 1A. DEL SIGUIENTE DÍA.,
CALCIO IONIZADO,271.00,Ayuno mínimo de 8 hrs máximo 12.,
CALCITONINA,318.00,Ayuno mínimo de 8 hrs máximo 12.,
CALCULO RENAL O BILIAR,0.00,Muestra en frasco esterial,
CALPROTECTINA (HCP) Y LACTOFERRINA (HLF) HUMANA,649.00,MATERIAL FECAL RECIENTE FRASCO ESTÉRIL,
CANNABINOIDES (MARIHUANA),0.00,NO SE REQUIERE AYUNO,
CANNABINOIDES (MARIHUANA) EN ORINA,243.00,RECOLECTAR ORINA OCASIONAL EN UN FRASCO ESTÉRIL,
CANNABINOIDES EN ORINA (PRUEBA CONFIRMATORIA),"3,050.00",RECOLECTAR ORINA OCASIONAL EN UN FRASCO ESTÉRIL,
CAPACIDAD DE UNIÓN DE HIERRO TOTAL,423.00,AYUNO DE 8 HORAS MÁXIMO 12,
CARBAMAZEPINA,376.00,AYUNO DE 8 HORAS,
CARBOXIHEMOGLOBINA,0.00,Ayuno 8 horas,
Cardiólogo,"1,300.00",,
CARGA VIRAL PARA CITOMEGALOVIRUS,0.00,Ayuno no Indispensable,
CARGA VIRAL PARA HEPATITIS B,0.00,Ayuno no Indispensable,
CARGA VIRAL PARA HIV (PCR),"5,866.00",Ayuno no indispensable,
CARIOTIPO EN SANGRE PERIFÉRICA,"2,341.00",1. Si el paciente está en tratamiento con antibióticos esperar un mínimo de 8 días para la toma.\n2. No tomar la muestra si el paciente ha sido transfundido recientemente (Esperar mínimo 1 mes\ndespués de la trasfusión para la toma).\n3. No tomar la muestra si el paciente ésta bajo tratamiento de quimioterapia/radiación (Esperar\nmínimo 3 meses después del tratamiento para tomar la muestra).,
CAROTENOS,359.00,AYUNO DE 8 HORAS,
CATECOLAMINAS TOTALES EN ORINA 24 HORAS,461.00,Recolectar muestra a partir de la 2da orina hasta la 1ra del siguiente día. Traer muestra en envase de agua.,
CATECOLAMINAS TOTALES EN PLASMA,461.00,AYUNO DE 8 HORAS,
CEFALIN COLESTEROL,0.00,Ayuno no indispensable,
CELULAS L.E. (LUPUS ERITEMATOSO),"2,649.00",Ayuno no indispensable,
CERTIFICADO MÉDICO,118.00,,
CERULOPLASMINA EN SUERO,759.00,AYUNO DE 8 HORAS,
CHECK  UP EXPRESS DIABETES,349.00,PREVIA CITA\nIncluye:\n-HEMOGLOBINA GLUCOSILADA EXPRESS \n-INBODY (COMPOSICIÓN CORPORAL)\n-ASESORIA MÉDICA,
CHLAMYDIA IgA,0.00,Ayuno no Indispensable,
CHLAMYDIA IgG,0.00,Ayuno no Indispensable,
CHLAMYDIA IgM,0.00,Ayuno no Indispensable,
CHLAMYDIA TRACHOMATIS POR PCR,"1,318.00",1. Abstinencia sexual de 4 días\n2. Aseo personal\n3. Sin la aplicación de cremas o antibióticos 7 días antes,
CICLOSPORINA,406.00,,
"CISTATINA ""C""",515.00,Ayuno mínimo de 8 hrs máximo 12.,
CITOLOGIA DE LÍQUIDOS,390.00,Pedir Indicaciones,
CITOLOGÍA DE MOCO FECAL,136.00,,
CITOLOGIA URETRAL,0.00,Pedir indicaciones.,
CITRATO EN ORINA DE 24 HORAS,470.00,"RECOLECTAR ORINA DE 24 HORAS EN UN ENVASE DE AGUA. LA PRIMERA ORINA DE LA MAÑANA LA VA A DESECHAR, A PARTIR DE LA SEGUNDA ORINA HASTA LA PRIMERA DEL SIGUIENTE DÍA",
CITRATO EN ORINA DE 24 HRS,0.00,,
CLONAZEPAM (RIVOTRIL),590.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
CLORO,119.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
CLORO EN ORINA DE 24 HORAS,119.00,RECOLECTAR MUESTRA APARTIR DE LA 2DA ORINA HASTA LA 1RA DEL SIGUIENTE DIA. TRAER MUESTRA EN ENVASE DE AGUA.\nQUE NO SEA EN ENVASE DE REFRESCO.,
"CLOSTRIDRIUM DIFFICILE TOXINA A, TOXINA B, + GDH","1,085.00",Muestra de heces reciente 10 g,
COBALTO EN ORINA,468.00,,
COBALTO EN SANGRE,468.00,,
COBERTURA CONVENIO CRNOVA,0.00,COBERTURA POR SERVICIO CONVENIO  CRNOVA,
COBRE,0.00,Ayuno no Indispensable.,
COBRE EN ORINA DE 24 HRS,"1,242.00",Recolectar orina de 24 horas.,
COBRE SÉRICO,"1,666.00",,
COBRO EXTRA,0.00,,
COBRO POR CANCELACIÓN,0.00,,
COCAÍNA,243.00,NO SE REQUIERE AYUNO,
COLESTEROL HDL,118.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR LA NOCHE ANTERIOR COMIDAS RICAS EN GRASAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
COLESTEROL LDL,118.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR LA NOCHE ANTERIOR COMIDAS RICAS EN GRASAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.\n",
COLESTEROL TOTAL,118.00,"\nAYUNO DE 8 A 12 HORAS.\nEVITAR LA NOCHE ANTERIOR COMIDAS RICAS EN GRASAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
COLESTEROL VLDL,0.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR LA NOCHE ANTERIOR COMIDAS RICAS EN GRASAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.\n",
COLINESTERASA,271.00,AYUNO DE 8 HORAS,
COLINESTERASA ERITROCITARIA,798.00,AYUNO NO INDISPENSABLE,
COLOCACION DE SONDA,0.00,COLOCACION DE SONDA,
COLPOSCOPIA ,506.00,,
COLUMNA PANORÁMICA AP,"1,425.00",PREVIA CITA\nROPA LISA CÓMODA SIN  NINGÚN TIPO DE METAL.\n,
COLUMNA PANORÁMICA AP Y LATERAL,"2,035.00","PREVIA CITA\nACUDIR CON ROPA LISA CÓMODA, SIN NINGÚN TIPO DE METAL.\n",
COLUMNA PANORÁMICA LATERAL,"1,425.00",PREVIA CITA\nACUDIR CON ROPA LISA CÓMODA SIN NINGÚN TIPO DE METAL\n,
COMPLEMENTO C3,306.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
COMPLEMENTO C4,306.00,AYUNO MINIMO DE 8HRS MAXIMO 12.,
COMPLEMENTO HEMOLITICO 50 (CH50),388.00,AYUNO DE 8 HORAS,
COMPOSICIÓN CORPORAL,145.00,,
CON US DOPPLER  1 EXTREMIDAD,339.00,,
CONFIRMATORIO PARA HBsAG,637.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
Consulta de Psiconeuroinmunología Clínica,700.00,,
CONSULTA MÉDICA GENERAL,370.00,,
CONSULTA MEDICA PROMOCIÓN,70.00,Valida Martes y Jueves de 9:00 am a 12:30 pm ,
CONSULTA VALORACION ,250.00,,
CONVENIO MEXIRRC PCR COVID 19,0.00,SIN ASEO BUCAL,
CONVENIO MITSUI,0.00,,
COOMBS DIRECTO (Ac anti-RH eritrocitarios),146.00,AYUNO DE 8 HORAS,
Coombs indirecto  $75.90,0.00,Suero 2 mL.\nMetodología: Inmunoaglutinación.,
COOMBS INDIRECTO (Ac anti - RH séricos),140.00,AYUNO DE 8 HORAS,
COPROCULTIVO,353.00,"1. SIN ESTAR TOMANDO ANTIBIÓTICOS 7 DÍAS ANTES DE LA RECOLECCIÓN DE LA MUESTRA.\n2. RECOLECTAR UNA MUESTRA DE HECES  DEL TAMAÑO DE UNA NUEZ EN UN FRASCO ESTÉRIL.\n3. EN EL CASO QUE SEA UNA MUESTRA DIARREICA RECOLECTAR 10 ML.\n4. NO CONTAMINAR LA MUESTRA CON ORINA, AGUA, TIERRA, FIBRAS DE PAÑAL.",
COPROLÓGICO,299.00,"1. RECOLECTAR EN FRASCO ESTÉRIL UNA MUESTRA DE HECES DEL TAMAÑO DE UNA NUEZ.\n2. NO USAR ENEMAS, LAXANTES O SUPOSITORIOS.\n3. NO CONTAMINAR LA MUESTRA CON ORINA, AGUA, TIERRA, FIBRAS DE PAÑAL.\n4. NO RECOLECTAR LA MUESTRA DURANTE EL PERIODO MENSTRUAL.\n5. NO CONSUMIR CARNES ROJAS, JITOMATE, VITAMINAS, VINO TINTO NI BETABEL\n6. ESTA PRUEBA YA INCLUYE EL COPROPARASITOSCOPICO DE 1 MUESTRA",
COPROPARASITOSCOPICO 1 MUESTRA,147.00,"RECOLECTAR UNA MUESTRA DE HECES DEL TAMAÑO DE UNA NUEZ, ESTA NO DEBERÁ SER RECOLECTADA DEL INODORO",
COPROPARASITOSCOPICO 2 MUESTRAS,206.00,"1. RECOLECTAR UNA MUESTRA DE HECES DEL TAMAÑO DE UNA NUEZ, ESTA NO DEBERÁ SER RECOLECTADA DEL INODORO.\n2. RECOLECTAR LAS MUESTRAS DE ACUERDO A LOS DÍAS DE SERIE REQUERIDOS, UNA POR DÍA.\n3. SE PUEDEN MANTENER EN REFRIGERACIÓN Y ENTREGARLAS JUNTAS O BIEN ENTREGAR UNA POR DÍA AL LABORATORIO",
COPROPARASITOSCOPICO 3 MUESTRAS,267.00,"1. RECOLECTAR UNA MUESTRA DE HECES DEL TAMAÑO DE UNA NUEZ, ESTA NO DEBERÁ SER RECOLECTADA DEL INODORO.\n2. RECOLECTAR LAS MUESTRAS DE ACUERDO A LOS DÍAS DE SERIE REQUERIDOS, UNA POR DÍA.\n3. SE PUEDEN MANTENER EN REFRIGERACIÓN Y ENTREGARLAS JUNTAS O BIEN ENTREGAR UNA POR DÍA AL LABORATORIO",
CORTISOL EN ORINA DE 24 HRS.,293.00,RECOLECTAR MUESTRA A PARTIR DE LA 2DA ORINA HASTA LA 1RA DEL SIGUIENTE DIA. TRAER MUESTRA EN ENVASE DE AGUA.,
CORTISOL EN SUERO,325.00,,
CR ABDOMEN 1 PROYECCIÓN,804.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR ABDOMEN 2 PROYECCIONES,"1,046.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR ABDOMEN 3 PROYECCIONES,966.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR ABDOMEN 4 PROYECCIONES,"1,288.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
"CR ABDOMEN AP, DECÚBITO Y LATERAL",966.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR ANTEBRAZO 1 PROYECCIÓN,804.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR ANTEBRAZO 2 PROYECCIONES,"1,046.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR ARTICULACIONES TEMPOROMANDIBULARES,"1,046.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR BRAZO 1 PROYECCION,804.00,,
CR BRAZO 2 PROYECCIONES,"1,046.00",,
CR CADERA COXO - FEMORAL 1 PROYECCION,804.00,,
CR CADERA COXO - FEMORAL 2 PROYECCIONES,"1,046.00",,
CR CALCANEO 1 PROYECCION,804.00,,
CR CEFALOPELVIMETRIA,"1,046.00",,
CR CLAVICULA 1 PROYECCION,804.00,,
CR CLAVICULA 2 PROYECCIONES,"1,046.00",,
CR CLAVICULA AP Y OBLICUA COMPARATIVA,"1,046.00",,
CR CODO 1 PROYECCION,804.00,,
CR CODO 2 PROYECCIONES,"1,046.00",,
CR COLUMNA CERVICAL 1 PROYECCION,804.00,,
CR COLUMNA CERVICAL 2 PROYECCIONES,"1,046.00",,
CR COLUMNA CERVICAL 4 PROYECCIONES ,"1,288.00",,
CR COLUMNA CERVICAL 6 PROYECCION,"1,851.00",,
CR COLUMNA DORSAL 1 PROYECCION,804.00,,
CR COLUMNA DORSAL 2 PROYECCION,"1,046.00",,
CR COLUMNA DORSAL 4 PROYECCIONES,"1,288.00",,
CR COLUMNA LUMBAR 1 PROYECCION,804.00,,
CR COLUMNA LUMBAR 2 PROYECCIONES,"1,046.00",,
CR COLUMNA LUMBAR 6 PROYECCIONES,"1,851.00",,
CR COXIS 1 PROYECCION,804.00,,
CR COXIS 2 PROYECCIONES ,"1,046.00",,
CR CRANEO 1 PROYECCION,804.00,,
CR CRANEO 2 PROYECCIONES,"1,046.00",,
CR DEDO 1 PROYECCION,804.00,,
CR DEDO 2 PROYECCIONES,"1,046.00",,
CR EDAD OSEA 1 PROYECCION,804.00,,
CR EDAD ÓSEA 2 PROYECCIONES,"1,046.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR ESCÁPULA 1 PROYECCIÓN,804.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR ESCÁPULA 2 PROYECCIONES,"1,046.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR ESTERNÓN 1 PROYECCIÓN,804.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR FÉMUR 1 PROYECCIÓN,724.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR FÉMUR 2 PROYECCIONES,"1,046.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR HOMBRO 1 PROYECCIÓN,724.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR HOMBRO 2 PROYECCIONES,"1,046.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR HÚMERO 1 PROYECCIÓN,724.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR HÚMERO 2 PROYECCIONES,"1,046.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR LUMBAR 4 PROYECCIONES,"1,288.00",,
CR MANO 1 PROYECCIÓN,724.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR MANO 2 PROYECCIONES,"1,046.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR MASTOIDES,724.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR MASTOIDES 1 PROYECCIÓN,724.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR MAXILAR,724.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR MUÑECA 1 PROYECCIÓN,724.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR MUÑECA 2 PROYECCIONES,"1,609.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR ÓRBITAS,"1,609.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR PELVIS 1 PROYECCIÓN,804.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR PELVIS 2 PROYECCIONES,"1,046.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR PERFILOGRAMA,804.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR PIE 1 PROYECCIÓN,724.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR PIE 2 PROYECCIONES,"1,206.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR PIERNA 1 PROYECCIÓN,804.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR PIERNA 2 PROYECCIONES,965.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR RODILLA 1 PROYECCIÓN,483.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
